stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.462902,1629,664,-158.023582,1629,http://hea.thebus.org/nextbus.asp?s=1629,,,KAMEHAMEHA HWY + WAIKALANI DR,0,
21.458508,1628,663,-158.017472,1628,http://hea.thebus.org/nextbus.asp?s=1628,,,KAMEHAMEHA HWY + KIPAPA ST,0,
21.289378,3209,2357,-157.714786,3209,http://hea.thebus.org/nextbus.asp?s=3209,,,KAWAIHAE ST + OPP HAKALAU PL,0,
21.288601,3208,2356,-157.713892,3208,http://hea.thebus.org/nextbus.asp?s=3208,,,HAWAII KAI DR + KAWAIHAE ST,0,
21.336989,2861,1973,-157.901391,2861,http://hea.thebus.org/nextbus.asp?s=2861,,,PUULOA RD + KILIHAU ST,0,
21.338901,2862,1974,-157.901353,2862,http://hea.thebus.org/nextbus.asp?s=2862,,,PUULOA RD + MAPUNAPUNA PL,0,
21.343495,2863,1975,-157.899906,2863,http://hea.thebus.org/nextbus.asp?s=2863,,,PUULOA RD + MOKUMOA ST,0,
21.48208,559,3459,-158.228463,559,http://hea.thebus.org/nextbus.asp?s=559,,,LAWAIA ST + MAKAU ST,0,
21.346692,2865,1977,-157.890768,2865,http://hea.thebus.org/nextbus.asp?s=2865,,,ALA MAHAMOE ST + OPP UNULAU PL,0,
21.347621,2866,1978,-157.8902,2866,http://hea.thebus.org/nextbus.asp?s=2866,,,ALA MAHAMOE ST + ALA KOLOPUA ST,0,
21.349877,2867,1979,-157.888328,2867,http://hea.thebus.org/nextbus.asp?s=2867,,,ALA MAHAMOE ST + ALA NOLUNOLU ST,0,
21.351912,2868,1980,-157.886845,2868,http://hea.thebus.org/nextbus.asp?s=2868,,,ALA MAHAMOE ST + ALA WAIOPUA ST,0,
21.354185,2869,1981,-157.88576,2869,http://hea.thebus.org/nextbus.asp?s=2869,,,ALA MAHAMOE ST + PILIALOHA PL,0,
21.464215,551,3453,-158.212924,551,http://hea.thebus.org/nextbus.asp?s=551,,,FARRINGTON HWY + JADE ST,0,
21.468823,553,3455,-158.21538,553,http://hea.thebus.org/nextbus.asp?s=553,,,FARRINGTON HWY + OPP MOUA ST,0,
