"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"San Bernardino Line","SBL-Sat-20190408","295300273-20190408","L.A. Union Station","369","1"
"San Bernardino Line","SBL-Sat-20190408","295300277-20190408","L.A. Union Station","373","1"
"San Bernardino Line","SBL-Sat-20190408","295300281-20190408","L.A. Union Station","357","1"
"San Bernardino Line","SBL-Sat-20190408","295300282-20190408","L.A. Union Station","367","1"
"San Bernardino Line","SBL-Sat-20190408","295300747-20190408","L.A. Union Station","351","1"
"San Bernardino Line","SBL-Sat-20190408","295300760-20190408","L.A. Union Station","377","1"
"San Bernardino Line","SBL-Sat-20190408","295300762-20190408","L.A. Union Station","379","1"
"San Bernardino Line","SBL-Sat-20190408","295400262-20190408","San Bernardino - Downtown","354","0"
"San Bernardino Line","SBL-Sat-20190408","295400265-20190408","San Bernardino - Downtown","358","0"
"San Bernardino Line","SBL-Sat-20190408","295400268-20190408","San Bernardino - Downtown","362","0"
"San Bernardino Line","SBL-Sat-20190408","295400270-20190408","San Bernardino - Downtown","364","0"
"San Bernardino Line","SBL-Sat-20190408","295400272-20190408","San Bernardino - Downtown","366","0"
"San Bernardino Line","SBL-Sat-20190408","295400276-20190408","San Bernardino - Downtown","372","0"
"San Bernardino Line","SBL-Sat-20190408","295400280-20190408","San Bernardino - Downtown","376","0"
"San Bernardino Line","SBL-Sat-20190408","295400302-20190408","San Bernardino - Downtown","368","0"
"San Bernardino Line","SBL-Sat-20190408","295400748-20190408","San Bernardino - Downtown","352","0"
"San Bernardino Line","SBL-Sat-20190408","295400761-20190408","San Bernardino - Downtown","378","0"
"San Bernardino Line","SBL-Sun-20190408","295500266-20190408","L.A. Union Station","359","1"
"San Bernardino Line","SBL-Sun-20190408","295500267-20190408","L.A. Union Station","361","1"
"San Bernardino Line","SBL-Sun-20190408","295500273-20190408","L.A. Union Station","369","1"
"San Bernardino Line","SBL-Sun-20190408","295500281-20190408","L.A. Union Station","357","1"
